id,title,japanese,category,difficulty
1,神社参拝,神社参拝は、日本の歴史や美意識を理解するうえで欠かせないテーマです。地域や時代によって形は異なりますが、礼儀、季節感、自然との調和を大切にする考え方が表れています。観光客に説明するときは、見た目だけでなく、その背景にある価値観も伝えることが大切です。,歴史・文化,初級
2,寺院参拝,寺院参拝は、古くから人々の暮らし、信仰、芸術と結びついて発展してきました。現在でも祭り、観光施設、日常の道具などにその名残を見ることができます。外国人に紹介する際は、歴史的な由来と、今の日本でどのように親しまれているかを合わせて説明すると分かりやすくなります。,歴史・文化,初級
3,城郭,城郭は、日本の歴史や美意識を理解するうえで欠かせないテーマです。地域や時代によって形は異なりますが、礼儀、季節感、自然との調和を大切にする考え方が表れています。観光客に説明するときは、見た目だけでなく、その背景にある価値観も伝えることが大切です。,歴史・文化,中級
4,宿場町,宿場町は、古くから人々の暮らし、信仰、芸術と結びついて発展してきました。現在でも祭り、観光施設、日常の道具などにその名残を見ることができます。外国人に紹介する際は、歴史的な由来と、今の日本でどのように親しまれているかを合わせて説明すると分かりやすくなります。,歴史・文化,中級
5,武士道,武士道は、日本の歴史や美意識を理解するうえで欠かせないテーマです。地域や時代によって形は異なりますが、礼儀、季節感、自然との調和を大切にする考え方が表れています。観光客に説明するときは、見た目だけでなく、その背景にある価値観も伝えることが大切です。,歴史・文化,上級
6,忍者,忍者は、古くから人々の暮らし、信仰、芸術と結びついて発展してきました。現在でも祭り、観光施設、日常の道具などにその名残を見ることができます。外国人に紹介する際は、歴史的な由来と、今の日本でどのように親しまれているかを合わせて説明すると分かりやすくなります。,歴史・文化,初級
7,茶道,茶道は、日本の歴史や美意識を理解するうえで欠かせないテーマです。地域や時代によって形は異なりますが、礼儀、季節感、自然との調和を大切にする考え方が表れています。観光客に説明するときは、見た目だけでなく、その背景にある価値観も伝えることが大切です。,歴史・文化,初級
8,華道,華道は、古くから人々の暮らし、信仰、芸術と結びついて発展してきました。現在でも祭り、観光施設、日常の道具などにその名残を見ることができます。外国人に紹介する際は、歴史的な由来と、今の日本でどのように親しまれているかを合わせて説明すると分かりやすくなります。,歴史・文化,中級
9,書道,書道は、日本の歴史や美意識を理解するうえで欠かせないテーマです。地域や時代によって形は異なりますが、礼儀、季節感、自然との調和を大切にする考え方が表れています。観光客に説明するときは、見た目だけでなく、その背景にある価値観も伝えることが大切です。,歴史・文化,中級
10,能,能は、古くから人々の暮らし、信仰、芸術と結びついて発展してきました。現在でも祭り、観光施設、日常の道具などにその名残を見ることができます。外国人に紹介する際は、歴史的な由来と、今の日本でどのように親しまれているかを合わせて説明すると分かりやすくなります。,歴史・文化,上級
11,歌舞伎,歌舞伎は、日本の歴史や美意識を理解するうえで欠かせないテーマです。地域や時代によって形は異なりますが、礼儀、季節感、自然との調和を大切にする考え方が表れています。観光客に説明するときは、見た目だけでなく、その背景にある価値観も伝えることが大切です。,歴史・文化,初級
12,文楽,文楽は、古くから人々の暮らし、信仰、芸術と結びついて発展してきました。現在でも祭り、観光施設、日常の道具などにその名残を見ることができます。外国人に紹介する際は、歴史的な由来と、今の日本でどのように親しまれているかを合わせて説明すると分かりやすくなります。,歴史・文化,初級
13,浮世絵,浮世絵は、日本の歴史や美意識を理解するうえで欠かせないテーマです。地域や時代によって形は異なりますが、礼儀、季節感、自然との調和を大切にする考え方が表れています。観光客に説明するときは、見た目だけでなく、その背景にある価値観も伝えることが大切です。,歴史・文化,中級
14,枯山水,枯山水は、古くから人々の暮らし、信仰、芸術と結びついて発展してきました。現在でも祭り、観光施設、日常の道具などにその名残を見ることができます。外国人に紹介する際は、歴史的な由来と、今の日本でどのように親しまれているかを合わせて説明すると分かりやすくなります。,歴史・文化,中級
15,日本庭園,日本庭園は、日本の歴史や美意識を理解するうえで欠かせないテーマです。地域や時代によって形は異なりますが、礼儀、季節感、自然との調和を大切にする考え方が表れています。観光客に説明するときは、見た目だけでなく、その背景にある価値観も伝えることが大切です。,歴史・文化,上級
16,侘び寂び,侘び寂びは、古くから人々の暮らし、信仰、芸術と結びついて発展してきました。現在でも祭り、観光施設、日常の道具などにその名残を見ることができます。外国人に紹介する際は、歴史的な由来と、今の日本でどのように親しまれているかを合わせて説明すると分かりやすくなります。,歴史・文化,初級
17,畳,畳は、日本の歴史や美意識を理解するうえで欠かせないテーマです。地域や時代によって形は異なりますが、礼儀、季節感、自然との調和を大切にする考え方が表れています。観光客に説明するときは、見た目だけでなく、その背景にある価値観も伝えることが大切です。,歴史・文化,初級
18,障子,障子は、古くから人々の暮らし、信仰、芸術と結びついて発展してきました。現在でも祭り、観光施設、日常の道具などにその名残を見ることができます。外国人に紹介する際は、歴史的な由来と、今の日本でどのように親しまれているかを合わせて説明すると分かりやすくなります。,歴史・文化,中級
19,襖,襖は、日本の歴史や美意識を理解するうえで欠かせないテーマです。地域や時代によって形は異なりますが、礼儀、季節感、自然との調和を大切にする考え方が表れています。観光客に説明するときは、見た目だけでなく、その背景にある価値観も伝えることが大切です。,歴史・文化,中級
20,床の間,床の間は、古くから人々の暮らし、信仰、芸術と結びついて発展してきました。現在でも祭り、観光施設、日常の道具などにその名残を見ることができます。外国人に紹介する際は、歴史的な由来と、今の日本でどのように親しまれているかを合わせて説明すると分かりやすくなります。,歴史・文化,上級
21,家紋,家紋は、日本の歴史や美意識を理解するうえで欠かせないテーマです。地域や時代によって形は異なりますが、礼儀、季節感、自然との調和を大切にする考え方が表れています。観光客に説明するときは、見た目だけでなく、その背景にある価値観も伝えることが大切です。,歴史・文化,初級
22,着物,着物は、古くから人々の暮らし、信仰、芸術と結びついて発展してきました。現在でも祭り、観光施設、日常の道具などにその名残を見ることができます。外国人に紹介する際は、歴史的な由来と、今の日本でどのように親しまれているかを合わせて説明すると分かりやすくなります。,歴史・文化,初級
23,浴衣,浴衣は、日本の歴史や美意識を理解するうえで欠かせないテーマです。地域や時代によって形は異なりますが、礼儀、季節感、自然との調和を大切にする考え方が表れています。観光客に説明するときは、見た目だけでなく、その背景にある価値観も伝えることが大切です。,歴史・文化,中級
24,下駄,下駄は、古くから人々の暮らし、信仰、芸術と結びついて発展してきました。現在でも祭り、観光施設、日常の道具などにその名残を見ることができます。外国人に紹介する際は、歴史的な由来と、今の日本でどのように親しまれているかを合わせて説明すると分かりやすくなります。,歴史・文化,中級
