title,japanese,answer_english
フリーマーケット,フリーマーケットはフランス発祥といわれており、人々が公園や 広場で、 不用品や再利用可能な品物をお互いに交換したり、売買した りする、 市民レベルのイベントです。 現在、 フリーマーケットは世界 中に広がり、日本でも全国津々浦々で、 大小さまざまなフリーマーケットが開催されています。,"Flea markets are said to have originated in France. They are community-level events where people gather in parks or public squares to exchange, buy, and sell unwanted or reusable items. Today, flea markets have spread worldwide, and in Japan as well, a wide variety of flea markets, both large and small, are held across the country."
オーバーツーリズム,今年に入って、多くのメディアやSNS上で、日本の有名観光地の混 雑ぶりがオーバーツーリズムとして伝えられています。 実際、 春と秋の観光シーズンには各地で渋滞や行列が酷く、 観光客をがっかりさせています。こうした問題に対し、 観光業界や自治体では、持続可能な観光の在り方について議論がなされています。,"Since the beginning of this year, many media outlets and social media platforms have reported overcrowding at well-known tourist destinations in Japan, referring to it as overtourism. In fact, during the peak travel seasons in spring and autumn, severe traffic congestion and long queues occur in many areas, disappointing visitors. In response to these issues, the tourism industry and local governments are discussing more sustainable approaches to tourism."
炊飯器,米は日本人の主食です。 かつては竈で米を炊いていたので手間暇が かかりましたが、 1950 年代に家電メーカーが自動炊飯器を開発する とこれがすぐに全国へ普及し、家庭でも簡単に美味しく米を炊くことができるようになりました。 現在、世界中で日本食が人気となり、炊飯器は海外でも活躍しています。,"Rice is the staple food of the Japanese. In the past, it was cooked using traditional stoves, which required considerable time and effort, but in the 1950s, home appliance manufacturers developed automatic rice cookers that quickly spread nationwide, allowing people to easily prepare delicious rice at home. Today, as Japanese cuisine has gained popularity worldwide, rice cookers are also widely used overseas."
人力車,人力車は、大きな2つの車輪と客席で構成された乗り物 車夫と 呼ばれる人がこれを引いて動かします。 明治から昭和初期にかけて、広くタクシーのように利用されてきました。 現在では、 浅草のような 観光地で人力車に乗ることができ、 車夫は伝統的な衣装を着て、 観光 案内もしてくれます。,"A rickshaw is a vehicle consisting of two large wheels and a passenger seat, which is pulled by a person known as a rickshaw driver. From the Meiji period to the early Showa period, it was widely used as a means of transportation similar to a taxi. Today, rickshaws can be found in tourist areas such as Asakusa, where drivers wear traditional attire and also provide sightseeing guidance."
キャッシュレス決済,日本におけるキャッシュレス決済の普及は遅れており、いまだ 39%に留まっています。 個人経営の飲食店や商店では、クレジットカードや電子マネーを使用できない所がたくさんあります。 そのため、クレジットカード決済を使うことが多い外国人が、 現金を持ち合わせていないため、消費行動を諦めてしまうことがあります。,"The spread of cashless payment in Japan has been relatively slow and still remains at around 39%. In many small, independently run restaurants and shops, credit cards and electronic money cannot be used. As a result, foreign visitors, who often rely on cashless payments, may give up making purchases because they do not have cash on hand."
花見と飲酒,日本では、桜が満開になると、 桜の花を見るだけでなく、 桜の木の下にシートを敷き、飲酒や食事をして宴会を楽しむ花見が行われま す。 昨今、 花見は海外からの観光客の興味を引いており、 花見は日本その代表的な観光資源となっています。 海外では公共の場での飲酒が禁止されていることが多いので、 日本の花見は特別な体験となるようです。,"In Japan, when cherry blossoms are in full bloom, people not only admire the flowers but also spread sheets under the trees, enjoying food, drinks, and parties. In recent years, cherry blossom viewing has attracted increasing attention from overseas visitors and has become one of Japan’s representative tourist attractions. Since drinking alcohol in public places is often prohibited abroad, hanami in Japan is considered a unique experience."
神前結婚式,春や秋の結婚シーズンになると、大きな神社では神前式が行われま す。 ここでは、伝統的な装束に身を包んだ新郎新婦が、 神道の衣装を 纏った神主や巫女に導かれて拝殿に向かいます。 この花嫁行列を、参 拝者がカメラやスマホで撮影する光景がよく見られます。 特に外国人 観光客は、 日本の伝統的な結婚式の美しさに魅了されるようです。,"During the wedding seasons in spring and autumn, Shinto-style wedding ceremonies are held at major shrines. The bride and groom, dressed in traditional attire, proceed to the main hall led by a Shinto priest and shrine maidens wearing ceremonial clothing. It is common to see visitors taking photos of this wedding procession with cameras or smartphones, and many foreign tourists are captivated by the beauty of traditional Japanese weddings."
戻ってくる落とし物,日本は、 落とし物が戻ってくる率が非常に高いことで世界に知ら れています。 警視庁によると、 近年多い落とし物のうち、 携帯電話の 6割、 財布の9割が持ち主に返還されています。 この背景には、日本 の幼少期の教育、 伝統的な道徳意識、そして交番の存在があると考え られています。,"Japan is widely known for its exceptionally high rate of lost items being returned. According to the Metropolitan Police Department, in recent years, about 60 percent of mobile phones and 90 percent of wallets have been returned to their owners. This is believed to be due to early childhood education, traditional moral values, and the presence of neighborhood police boxes."
日本のコンビニ,日本には、コンビニが全国いたるところにあります。 24時間営業 のところも多く、とても便利です。 コンビニでは、 日用品やチケット、 そしてパン、お菓子、アイスクリーム、 おにぎりなど様々な食品を買 うことができます。 免税に対応している店舗もあり、 外国人旅行者に人気となっています。,"Convenience stores can be found throughout Japan, and many operate 24 hours a day, making them extremely convenient. At these stores, customers can purchase daily necessities, tickets, as well as a wide range of foods such as bread, snacks, ice cream, and rice balls. Some stores also offer tax-free services, making them popular among foreign visitors."
地震国日本の防災,日本は、地震の多い国です。 これは、地震は地球表面にあるプレ ートがズレて起こるものであるところ、 日本列島は4つのプレートが ぶつかり合う位置にあるからです。 日本は過去に、地震による大きな 被害を出したこともありました。 しかし、 日本人はそこから学び、 被 害を防ぐ努力をしており、国や自治体の防災への取り組みは、国際的 にも高く評価されています。,"Japan is a country prone to earthquakes, as they occur when tectonic plates on the Earth's surface shift, and the Japanese archipelago lies at the junction of four such plates. In the past, Japan has suffered significant damage from earthquakes. However, the Japanese people have learned from these experiences and continue to make efforts to reduce damage, and the disaster prevention measures implemented by the government and local authorities are highly regarded internationally."
